acid,epoxide,tg
CC(=O)Cc1ccc(OCC(=O)N(CCC(=O)O)CCC(=O)O)cc1,COc1cc(C(=O)N2CCCC2c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,339.3846826206362
Cc1c(NC(=O)CC2(CC(=O)O)CCC2)cccc1C(=O)O,O=C(O)c1cccc(C#Cc2cccc(NC(=O)N(CC3CO3)CC3CO3)c2)c1,426.6895695325016
Cn1c(C(=O)NC(COCC(=O)O)COCC(=O)O)cc2ccccc21,CN(CC(=O)NCCCCCCC1CO1)C(=O)C1CO1,371.64802974662814
O=C(O)CCN(CCC(=O)O)C(=O)Nc1cccc(COCc2ccco2)c1,CC(O)CNC(=O)c1ccc(OCC(=O)N(CC2CO2)CC2CO2)cc1,366.3438641841435
O=C(O)Cc1cccc(C=C2CCc3c2nc2ccccc2c3C(=O)O)c1,CCCN(Cc1ccc(C#N)cc1)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,431.5329180671133
Cc1cc(C(=O)O)cc(C(=O)O)c1,O=C(OCC(=O)N1CCN(C(=O)C2CC2)CC1)c1ccc(OCC2CO2)cc1OCC1CO1,405.1045348570325
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2cccc(Oc3ccccc3)c2)c1=O,CCOc1nc(C)ccc1C(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,425.58996429427106
O=C(O)COCC1(COCC(=O)O)CN(Cc2ccccc2)C1,O=C(c1c(OCC2CO2)cccc1OCC1CO1)N1CCC(Nc2ccccn2)CC1,364.1522406452398
O=C(O)CCN(CCC(=O)O)C(=O)CNC(=O)c1ccc2c(c1)OCO2,c1ccc(COc2ccc(CNCCc3ccc(OCC4CO4)cc3)c(OCC3CO3)c2)cc1,377.3300633165539
O=C(O)CCC(CCC(=O)O)C(=O)NCC1CC(NC(=O)C2CC2)C1,C=CCNC(=O)Nc1ccc(NC(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,378.0166627907063
Cc1ccccc1NC(=O)Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,CCOc1ccccc1CNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,408.65933151208765
COCc1cncc(C(=O)NCCNCC(=O)N(CCC(=O)O)CCC(=O)O)c1,c1cc(CN2CCC(CCOCC3CO3)CC2)ccc1COCC1CO1,332.9615496543189
CN1CCC(=O)Nc2cc(C(=O)N(CCC(=O)O)CCC(=O)O)ccc21,CCOc1ccc(NC(=O)CN(CCOCC2CO2)CCOCC2CO2)cc1,363.6712703849113
CCc1ccc(CCC(=O)NC(C)(COCC(=O)O)COCC(=O)O)cc1,Cc1cc(OCC2CO2)nc2ccc(NC(=O)c3ccc(OCC4CO4)cn3)cc12,361.8623756854281
COc1ccc(C(=O)NCC2(COCC(=O)O)CCC2)cc1OCCOCC(=O)O,COc1ccc(C)cc1CCNC(=O)c1c(OCC2CO2)cccc1OCC1CO1,344.63272462985316
Cc1ccc(N2CCC(C(=O)Nc3ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc3)CC2)nc1,c1ccc(CN(CC2CO2)CC2CO2)cc1,375.4352234570574
Cc1ccccc1CCNC(=O)C(CCC(=O)O)CCC(=O)O,CCOC(=O)c1cc(NC(=O)C=Cc2ccc(OCC3CO3)c(OCC)c2)ccc1OCC1CO1,360.86860282773046
O=C(O)COCc1ccc(NC(=O)Nc2cccc(N3CCOCC3)c2)cc1COCC(=O)O,O=C(NCc1cccc(OCC2CO2)c1)c1ccc2ccccc2c1OCC1CO1,399.32869674856073
COc1cc(COCC(=O)O)ccc1C(=O)Nc1ncccc1COCC(=O)O,O=C(NCc1cccc(OCc2ccccn2)c1)c1cccc(OCC2CO2)c1OCC1CO1,393.79886745878105
CC(C)(CC(=O)O)CC(=O)N(CCNCCC(=O)O)CCc1ccccc1,COc1ccc(C=CC(=O)O)cc1OCC(=O)N(CC1CO1)CC1CO1,375.11801243011894
O=C(O)CNCCCNCC(=O)O,O=C(Nc1cccc(OCC(=O)N(CC2CO2)CC2CO2)c1)C1CC1,344.99259383492364
NC(=O)c1ccc(CN(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)C2CC2)cc1,O=C(NCc1cccnc1OCC1CO1)c1cccc(OCC2CO2)c1,423.2299011640874
O=C(O)CCC(CCC(=O)O)C(=O)N1CCC(C(=O)c2ccccc2)CC1,Cc1ccc(C(=O)N2CCN(C(=O)c3cccc(OCC4CO4)c3)CC2)c(OCC2CO2)n1,419.1248970483719
CCCN(CC)CC(=O)N(CCC(=O)O)CCC(=O)O,Cc1ccc(OCCN2CCN(C(=O)C(CC3CO3)CC3CO3)CC2)cc1,319.3573414333271
