acid,epoxide,tg,std
O=C(O)CCOc1cccc(NC(=O)C(=O)NC2CCN(CCC(=O)O)CC2)c1,Cn1c(CCC(=O)OCC(=O)N(CC2CO2)CC2CO2)nc2ccccc2c1=O,422.2629,25.1704
Cc1cc(CN(CCOCCOCC(=O)O)CCOCC(=O)O)c2ccccc2n1,O=C(NC1CCC(C(=O)N(CC2CO2)CC2CO2)CC1)C1CCCC1,383.7952,16.7297
CC(=O)Nc1cccc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)c1C,CCNC(=O)CN1CCN(C(=O)c2ccc3ccc(OCC4CO4)cc3c2OCC2CO2)CC1,418.0028,33.0587
O=C(O)COCCCCCCn1cc(CCOCC(=O)O)cn1,O=C(CC1CCCC1)NCCNC(=O)c1c(OCC2CO2)cccc1OCC1CO1,390.0137,40.6119
O=C(O)CCN(CCC(=O)O)C(=O)CCC(=O)N1CCC(O)CC1,Cc1ccc(CN(C(=O)COC(=O)c2cc(OCC3CO3)ccc2OCC2CO2)C2CC2)cc1,414.4912,23.2313
Cc1ccncc1C=CC(=O)N(CCC(=O)O)CCC(=O)O,CNC(=O)c1ccc(OC)c(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1,462.0314,46.1812
O=C(O)CCCNC1CC(CNC(=O)COCCCC(=O)O)C1,CCN(C)C(=O)c1cccc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,393.6485,15.6446
O=C(O)CCN(CC(=O)O)C(=O)c1ccc(C2CC2)cc1,COCCOc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,347.5235,11.4197
O=C(O)COCC(COCC(=O)O)NC(=O)c1ccc2ccccc2c1,Cc1cc(C)cc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,393.8696,6.626
O=C(O)COCCc1ccc(CCOCC(=O)O)nc1,CCc1cc(C(=O)Nc2cc(COCC3CO3)cc(COCC3CO3)c2)ccc1O,407.417,19.3407
CC(C)NC(=O)Nc1ccccc1C(=O)N(CCOCCOCC(=O)O)CCOCC(=O)O,NC(=O)CN(Cc1ccccc1)C(=O)c1ccc(OCC2CO2)cc1OCC1CO1,409.0919,9.3221
CN(CCC(=O)O)c1nnc(Cc2ccc3ccccc3c2)n1CCC(=O)O,COc1cc(CCCNC(=O)Cc2ccccc2OCC2CO2)cc(OC)c1OCC1CO1,377.3138,20.1165
O=C(O)CCCC(=O)N1CC(O)(CNC(=O)CCCOCCC(=O)O)C1,O=C(NCc1ccc(NC(=O)C2CC2)cc1)C(=O)N(CC1CO1)CC1CO1,417.4112,29.6717
CC(C)c1nccc(N2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)n1,COc1ccc(CNC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,443.6983,20.8755
CN(Cc1ccccn1)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,NC(=O)c1ccc(CN(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)C2CC2)cc1,478.1764,31.1994
CC(C)c1nccc(N2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)n1,COc1cc(C(=O)NC2CCN(CC3CO3)CC2)cc(CC2CO2)c1OC,438.6607,36.2274
CC(C)C(NCc1ccccc1OCC(=O)O)C(=O)O,CCN1CCN(c2ccc(NC(=O)N(CC3CO3)CC3CO3)cc2)CC1,440.7574,12.4186
CN(C)c1ccccc1CNC(=O)C(CCC(=O)O)CCC(=O)O,COc1cc(CNC(=O)C=Cc2cccc(OCC3CO3)c2)ccc1OCC1CO1,417.4155,24.9177
CC(C)(CC(=O)O)C(=O)Nc1cccc(OCCC(=O)O)c1,Cc1cc(NC(=O)N(CC2CO2)CC2CO2)ccc1Oc1cccnc1,479.0648,39.17
CN(CCCCCCC(=O)O)CCCCCCC(=O)O,O=C(Cc1ccc(OCC2CO2)cc1)NCC(=O)N1CC=C(c2ccc(OCC3CO3)cc2)CC1,354.94,14.5007
CC(=O)Cc1ccc(OCC(=O)N(CCC(=O)O)CCC(=O)O)cc1,COc1cc(C(=O)N2CCCC2c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,393.1031,32.5398
