acid,epoxide,tg,std
CCN(CC)C(=O)CN1CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC1,COc1ccc(C(=O)C=Cc2ccc(OCC3CO3)cc2)c(OCC2CO2)c1OC,412.7771,65.0868
COc1ccc(OC)c(CN(CCO)C(=O)C(CCC(=O)O)CCC(=O)O)c1,O=C(O)c1cc(OCC2CO2)c2cc(C(=O)O)cc(OCC3CO3)c2c1,440.9654,25.8941
Cc1cc(C)c(OCC(=O)NC(COCC(=O)O)COCC(=O)O)c(C)c1,CN1CCN(Cc2cccc(C(=O)Nc3ccc(COCC4CO4)c(COCC4CO4)c3)c2)CC1,409.2438,17.8551
CC(C)Oc1c(N)cccc1C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O,Cc1cc(NC(=O)c2cc(OCC3CO3)c3ccccc3c2)nc(OCC2CO2)c1,443.3277,15.8103
O=C(O)CCN(CCC(=O)O)C(=O)CNCCNC(=O)COCC1CCCC1,CCCNC(=O)c1cccc(NCC(=O)N(CC2CO2)CC2CO2)c1,388.0698,25.4683
O=C(O)CCN(CCC(=O)O)Cc1ccc(N2CCC(O)CC2)cc1,O=C(Nc1ccc(C2CCC2)cc1)c1cccc(OCC2CO2)c1OCC1CO1,439.5093,39.8211
COc1cc(C(=O)NOCCCC(=O)O)ccc1OCCC(=O)O,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccccc1NC(=O)C1CC1,472.3495,47.9855
CCCCOc1ccc(CN(CCOCC(=O)O)CCOCC(=O)O)cc1,O=C(Cn1ccc2ccccc21)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,368.3915,23.5208
CNC(=O)c1cc(Oc2cccc(OC(=O)C(CCC(=O)O)CCC(=O)O)c2)ccn1,Cc1ccc(C(N)=O)cc1NC(=O)C(CC1CO1)CC1CO1,444.2123,28.8182
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)NCCc2ccc(CO)cc2)cc1,O=C(NCCc1ccc(OCC2CO2)c(OCC2CO2)c1)Nc1ccc(OCc2ccncc2)cc1,443.7689,16.2603
CCc1cccc(C)c1NC(=O)N(CCCOCC(=O)O)CCOCC(=O)O,CCNC(=O)COc1cccc(CNC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1,438.7291,34.2069
O=C(O)COCc1cc(COCC(=O)O)cc(NC(=O)c2c(O)cccc2O)c1,COc1ccc(CCNC(=O)c2ccc(C#N)c(OCC3CO3)c2)cc1OCC1CO1,435.2301,27.8848
CCOC(=O)c1ccccc1NC(=O)Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,CC1CN(C(=O)c2ccc(COCC3CO3)cc2)CCN(C(=O)c2ccc(COCC3CO3)cc2)C1,494.1839,34.8583
CN1CCN(Cc2ccc(C(=O)Nc3ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc3)cc2)CC1,Cc1ccc(OCCNC(=O)N(CC2CO2)CC2CO2)c(C)c1,425.644,34.5735
CN(CCC(=O)O)C(=O)Cc1ccc(OCCC(=O)O)cc1,CCCOc1ccc(C(=O)Nc2cc(COCC3CO3)cc(COCC3CO3)c2)cc1OCC,394.5787,24.0227
CC(=O)Nc1ccc(OCc2nnc(N3CCC(CC(=O)O)CC3)n2CCC(=O)O)cc1,COc1ccc(OC2CCN(CC(=O)N(CC3CO3)CC3CO3)CC2)cc1,452.4263,32.8002
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)N(C2CC2)C2CC2)cc1,O=C(c1cccc(COCC2CO2)c1)N1CCCN(C(=O)c2cccc(COCC3CO3)c2)CC1,423.2098,47.0647
Cc1ccc(CCC(=O)NCCNCC(=O)N(CCC(=O)O)CCC(=O)O)o1,Cn1nccc1NC(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,427.9221,20.7346
CCCOCC(=O)Nc1cc(COCC(=O)O)cc(COCC(=O)O)c1,Cc1cccc(OCCCC(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,397.9159,10.7139
COc1ccc(CN(CCOCC(=O)O)CCOCC(=O)O)c(C)c1,O=C(CN1CCN(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)CC1)NC1CCCCC1,406.1573,16.4518
CCCOc1ccc(CN(CCCOCC(=O)O)CCOCC(=O)O)cc1OC,O=C(Nc1ccc(CCO)cc1)c1cccc(OCC2CO2)c1OCC1CO1,400.378,36.3995
CCC(CC)Oc1ccc(C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,O=C(NCc1ccccc1OCC1CO1)NCC1CO1,414.6398,17.6272
O=C(O)CNN=Cc1c(O)c(C(=O)O)cc2ccccc12,O=C(Cc1ccc(OCC2CO2)cc1)Nc1ccc(OCC2CO2)c(C(=O)O)c1,432.3995,14.5621
O=C(O)COCc1cc(COCC(=O)O)cc(NC(=O)c2cccc3c2CCC3)c1,Cc1ccc(CN(C)CC(=O)N(CC2CO2)CC2CO2)cc1,444.5761,38.8646
COc1cncc(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,Cc1ccc(NC(=O)C(CC2CO2)CC2CO2)cc1C,371.2908,18.8164
CCCC(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,COc1ccc(C(=O)O)c(NC(=O)N(CC2CO2)CC2CO2)c1,499.8238,34.463
N#CCCCC(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,O=C(NCC1CC(NCCCC2CO2)C1)c1ccccc1OCC1CO1,402.5736,28.1954
CN1C(=O)CCc2cc(CN(CCC(=O)O)CCC(=O)O)ccc21,O=C(Cc1ccc(OCC2CO2)cc1)NC(Cc1ccccc1OCC1CO1)C(=O)O,433.5578,26.9396
CC(C)N1CCC(C(=O)N(CCC(=O)O)CCC(=O)O)CC1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)N1CCN(c2cccc(O)c2)CC1,450.3671,24.3228
COc1ccc(OCCCC(=O)NC(C)(COCC(=O)O)COCC(=O)O)cc1,Cc1cc(OCC2CO2)cc(=O)n1CCC(=O)NCCNC(=O)c1ccc(OCC2CO2)cc1,416.2812,20.8013
Cc1ccc(CN2CCC(C(=O)O)C2)cc1C(=O)O,O=C(Nc1cccc2nonc12)c1ccc(OCC2CO2)cc1OCC1CO1,435.3023,43.51
Cc1cccc(CC(=O)N2CCC(N(CCOCC(=O)O)CCOCC(=O)O)CC2)c1,O=C(NCc1ccc(OCC2CO2)nc1)c1cccc(OCC2CO2)n1,403.3231,12.6183
O=C(O)CNCCCCCCNCC(=O)O,O=C(CCCCC(=O)NCCCC1CO1)NCCCC1CO1,337.4651,8.5322
CC(C)OC1CN(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)C1,CC(=O)c1ccc(C(=O)NCc2ccc(OCC3CO3)cc2)cc1OCC1CO1,447.6876,26.1389
O=C(COc1cc(C(=O)O)cc(C(=O)O)c1)NC1CCCCC1,O=C(Cc1cncc(OCC2CO2)c1)N1CCc2ccc(OCC3CO3)cc2CC1,452.0454,13.8261
O=C(O)COCc1cc(COCC(=O)O)cc(NC(=O)c2cnc3cc(O)ccc3c2)c1,O=C(O)NCc1ccc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,467.4398,14.3078
CCOc1ccc(OCC)c(NC(=O)C(CCC(=O)O)CCC(=O)O)c1,CCOC(=O)c1cc(NC(=O)c2ccc(OCC3CO3)c(CC)c2)ccc1OCC1CO1,438.7623,37.2133
C=C(CC)CNC(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,O=C(NCc1ccc(OCC2CO2)c(OCC2CO2)c1)Nc1ccccn1,461.8873,53.7618
Cc1cc(CNCCNC(=O)C(CCC(=O)O)CCC(=O)O)no1,CNC(=O)c1cccc(CNC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1,447.3076,18.0122
O=C(O)CCN(CCC(=O)O)C(=O)CN1CCC(Oc2ccccn2)CC1,CCOc1ccc(CCC(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,403.9917,13.6677
O=C(O)COCCN(CCOCCN(CCOCC(=O)O)c1ccccc1)c1ccccc1,O=C1c2ccccc2C(=O)N1CCCCN(CC1CO1)CC1CO1,371.2822,13.2662
Cc1ccc(CN(CCOCC(=O)O)Cc2ccc(COCC(=O)O)o2)cc1,Cn1cccc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1=O,414.6903,32.5075
O=C(O)CCN(CCC(=O)O)C(=O)CN(C1CCCCC1)C1CC1,CC(C)COc1ccc(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)cn1,436.7791,25.3293
O=C(O)COCC(=O)Nc1cccc(C(=O)O)c1,Cc1cc(OCC2CO2)c(C(C)C)cc1NC(=O)COc1ccccc1OCC1CO1,462.0538,34.868
CC(=O)OCCCc1cccc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)c1,N#Cc1ccc(OCC2CO2)c(NC(=O)CCc2ccc(OCC3CO3)nc2)c1,424.5637,22.6958
O=C(O)c1cccc(CN2CCC(Nc3cccc(C(=O)O)c3)CC2)c1,O=C(COCC1CO1)N1CCC(Cc2ccccc2COCC2CO2)CC1,443.6051,16.749
CN(CCCO)C1CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC1,O=C(NCCc1cnccn1)c1ccc(OCC2CO2)cc1OCC1CO1,386.3389,12.3499
CN(CCCOCC(=O)O)C1CCC(COCC(=O)O)CC1,CCOc1cccc(CN(C)Cc2ccccc2OCC2CO2)c1OCC1CO1,363.2361,23.4296
CC(C)(COCC(=O)O)NCc1ccc(OCCOCC(=O)O)cc1,COCC(=O)Nc1cccc(CNC(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)c1,391.6062,22.8585
O=C(O)CCOc1ccccc1C=CC(=O)c1cc(C(=O)O)ccc1O,CCc1cc(OCC2CO2)ccc1NC(=O)c1ccc(C)c(OCC2CO2)c1,458.8594,17.9366
NC(=O)CN1CCCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC1,CC(C)(C)NC(=O)c1cccc(NCC(=O)N(CC2CO2)CC2CO2)c1,443.3531,7.4187
CN(CCCCCOCC(=O)O)C1CCC(COCC(=O)O)CC1,COc1cc(C(=O)OCCCn2c(OCC3CO3)nc3ccccc32)ccc1OCC1CO1,357.0439,13.1118
O=C(O)CCCC(=O)NC1CCN(CC(=O)NCCC(=O)O)CC1,O=C(NC1(c2ccccc2)CCCC1)c1ccc(OCC2CO2)cc1OCC1CO1,427.5876,15.4486
O=C(O)CCC(CCC(=O)O)C(=O)NCCN(CCO)C(=O)CCC1CC1,O=C(NCCCn1cnc2ccccc21)c1c(OCC2CO2)cccc1OCC1CO1,405.3373,21.1125
O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1cccc(N2CCCCCC2)c1,O=C(c1ccc(OCC2CO2)cc1)N1CCC(NCC2CO2)CC1,440.8055,26.4217
CN(CCCOCC(=O)O)C(=O)COc1ccc(COCC(=O)O)cc1,Cc1nn(Cc2ccccc2)c(C)c1CNc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,386.4697,24.2636
CCC(C)(C)C(=O)Nc1cc(COCC(=O)O)cc(COCC(=O)O)c1,O=C(NCC(=O)N1CCC(CCc2ccc(OCC3CO3)cc2)CC1)c1ccc(OCC2CO2)cc1,448.6054,20.9723
COc1ccc2cc(C=CC(=O)N(CCC(=O)O)CCC(=O)O)ccc2c1,CCC(C)CC(=O)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,394.0171,22.4464
COc1ccc(C(=O)NC(C)CCC(=O)O)c(OCCC(=O)O)c1,CCc1cc(C(=O)Nc2cc(C(C)=O)ccc2OCC2CO2)cc(OCC2CO2)n1,413.0539,29.2876
CC(C)C(=O)NCCCNC(=O)C(CCC(=O)O)CCC(=O)O,COc1c(OCC2CO2)cccc1OCC1CO1,393.2608,17.9166
Cn1nnc2cc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)ccc21,COc1cccc(CNc2cc(C)ccc2OCC2CO2)c1OCC1CO1,439.1535,32.6796
CC(C)(CNCCC(=O)O)C1CCN(C(=O)CCCCC(=O)O)CC1,O=C(c1ccc(OCC2CO2)cc1OCC1CO1)N1CCCC(Cc2ccccc2)C1,408.5839,13.8963
O=C(O)CCCNCCCNC(=O)c1cn(CCCC(=O)O)nn1,CC(C)(C)c1ccc(N2CCC(NC(=O)c3c(OCC4CO4)cccc3OCC3CO3)CC2)cc1,413.67,50.258
Cc1ccc(OCCC(=O)NC(COCC(=O)O)COCC(=O)O)cc1C,CN(C)Cc1cccc(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)c1,413.336,26.9438
COc1ccc(NC(=O)NC(COCC(=O)O)COCC(=O)O)cc1NC(=O)C1CCCCC1,O=C(COc1ccc2c(c1)OCO2)N(CC1CO1)CC1CO1,429.5489,26.1812
CC(C)CNC(=O)Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,O=C(NCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1ccc(NC(=O)c2ccccc2)cc1,487.5298,47.3863
CCCCCCCCCCCCN(CCC(=O)O)CCC(=O)O,O=C(Nc1ccc(Oc2ccncc2)cc1)c1c(OCC2CO2)cccc1OCC1CO1,360.655,23.9577
Cc1cc(CNCCCC(=O)O)ccc1C(=O)O,c1ccc(Cn2cc(CN(CCOCC3CO3)Cc3ccc(COCC4CO4)cc3)cn2)cc1,346.1522,17.2919
O=C(O)c1ccc(CNCc2ccc(N3CCC(C(=O)O)CC3)o2)cc1,CCCc1ccccc1NC(=O)Nc1ccc(COCC2CO2)c(COCC2CO2)c1,442.3739,29.8854
Cc1cccc(C(=O)NC(CCC(=O)O)(CCC(=O)O)c2ccccc2)c1,O=C(COC(=O)c1cc(OCC2CO2)cc(OCC2CO2)c1)NOCc1ccccc1,443.1545,11.2208
O=C(O)COc1cccc(C(=O)NCc2cccc(C(=O)O)c2)c1,O=C(CCc1ccc2ccccc2c1OCC1CO1)Nc1ccc(OCC2CO2)nc1,441.0951,17.9801
Cc1cc(C(=O)N2CCCC2)ccc1NC(=O)N(CCCOCC(=O)O)CCOCC(=O)O,O=C(Nc1ccc2c(c1)CCCCC2)c1c(OCC2CO2)cccc1OCC1CO1,441.4305,27.363
O=C(O)COCCCN(CCOCC(=O)O)C(=O)Nc1cccc(N2CCCCC2=O)c1,O=C(Nc1ccc(N2CCOCC2)nc1)c1c(OCC2CO2)cccc1OCC1CO1,438.4587,13.2841
Cn1cc(CNC(=O)C(CCC(=O)O)CCC(=O)O)cn1,N#CCc1ccc(NC(=O)COC(=O)c2cc(OCC3CO3)cc(OCC3CO3)c2)cc1,441.2685,13.8846
CN(C)C(=O)CC(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,COC(=O)c1cccc(NC(=O)c2cc(OC)c(OCC3CO3)c(OC)c2)c1OCC1CO1,460.5548,29.8671
CC(C)COCCNCCCNC(=O)C(CCC(=O)O)CCC(=O)O,Cc1cccc(N2CCN(CC(=O)N(CC3CO3)CC3CO3)CC2)c1C,389.7127,19.4894
O=C(O)CCC(=O)Nc1cccc(CCC(=O)O)c1,CCc1ccc(C(=O)N2CCN(C(=O)c3cccc(OCC4CO4)c3OCC3CO3)CC2)cc1,448.0909,11.5118
O=C(O)COCC(=O)Nc1ccc(OC(=O)COCC(=O)O)cc1,O=C(NCCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1ccc2nccnc2c1,408.7883,11.9324
O=C(O)CCN(CCC(=O)O)C(=O)CNC(=O)c1ccccc1,CN1CCN(C(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c2ccccc21,471.4003,14.5018
O=C(O)COCc1ccc(CNc2ccc(N3CCC(COCC(=O)O)CC3)cn2)cc1,Cn1cc(CCNC(=O)N(CC2CO2)CC2CO2)c2ccccc21,418.1285,19.6345
COc1ccc(NC(=O)CC(C)(C)CC(=O)O)c(C(=O)O)c1,COc1ccc(C=CC(=O)c2c(C)cc(C)cc2OCC2CO2)cc1OCC1CO1,445.4119,32.3596
O=C(O)COCc1ccc(NC(=O)c2cccc(Oc3ccccc3)c2)cc1COCC(=O)O,Cn1c(OCC2CO2)nc2ccc(NC(=O)CNC(=O)c3ccc(OCC4CO4)cc3)cc21,449.335,21.1914
CC(C)(CCC(=O)Nc1cc(COCC(=O)O)cc(COCC(=O)O)c1)c1ccccc1,O=C(c1ccc2c(OCC3CO3)ncnc2c1)N1CCN(Cc2ccc(OCC3CO3)cc2)CC1,445.5918,43.8017
CN1CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC1,Cc1cc(CNC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)nc(C)n1,416.0063,15.0715
CCOc1ncccc1C(=O)N(CCC(=O)O)CCC(=O)O,COc1ccc(C(=O)N(C)C)cc1NC(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,428.0926,36.4643
COC(=O)COc1ccc(NC(=O)N(CCC(=O)O)CCC(=O)O)c2ccccc12,Cc1ccc(C(=O)NCc2cc(C)nc(OCC3CO3)c2)c(OCC2CO2)c1,433.4815,26.808
O=C(O)CCc1cccc(NC(=O)N2CCCC(CC(=O)O)C2)c1,COCCOc1ccc(C(=O)NC(COCC2CO2)COCC2CO2)cc1,413.5901,20.9174
CCOc1ccc(CCNC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)cc1OCC,CCNC(=O)c1cccc(NC(=O)COC(=O)c2cc(OCC3CO3)ccc2OCC2CO2)c1,428.9993,28.6671
O=C(O)CCN(CCC(=O)O)C(=O)COC(=O)c1ccc(N2CCCCCC2)nc1,CNC(=O)CCN(C)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,440.7952,11.0905
O=C(O)CCCC(=O)NCCN(CCO)C(=O)c1cn(CCC(=O)O)nn1,Cc1ccc2c(c1)CCN2C(=O)c1cc(OCC2CO2)cc(OCC2CO2)c1,446.3416,14.9743
CC(=O)NCC1CCN(C(=O)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)CC1,O=C(COC(c1ccccc1)c1ccccc1)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,414.821,10.8737
Cc1c(C(=O)O)cc(CNc2ccccc2CCCC(=O)O)n1C,COc1cc(CNC(=O)c2c(OCC3CO3)cccc2OCC2CO2)ccc1OC1CCCC1,406.1735,36.4818
Cc1cccc(C)c1NC(=O)CCCNC(COCC(=O)O)COCC(=O)O,CCc1cnc(OCC2CO2)c(C(=O)NCCCNC(=O)c2cccc(OCC3CO3)c2)c1,395.2236,13.0077
O=C(O)c1cc(C(=O)CC(=O)c2cc(C(=O)O)c(O)c3ccccc23)c2ccccc2c1O,Cc1ccc(C(=O)N2CCCN(C(=O)CCc3ccccc3)CC2)c(OCC2CO2)c1OCC1CO1,483.6499,29.0952
COc1cc(C(=O)O)cc(C(=O)NC(C(=O)O)C(C)C)c1,O=C(Cc1ccc(OCC2CO2)c(OCC2CO2)c1)NCc1ccc(C(=O)O)o1,458.033,7.4962
Cc1ccc(C(=O)O)cc1NC(=O)C(=O)N(C)CCC(=O)O,Cc1cc(C)c(NC(=O)CNC(=O)c2c(OCC3CO3)cccc2OCC2CO2)c(C)c1,494.3459,27.6258
O=C(O)COCCOc1cccc(OCCOCC(=O)O)c1,O=C(CN1CCC(NC(=O)c2c(OCC3CO3)cccc2OCC2CO2)CC1)Nc1ccccc1,398.7947,6.2331
O=C(O)CCNC(=O)CNC(=O)C1(c2ccccc2)CCN(C(=O)CC(=O)O)CC1,CCCNC(=O)c1cccc(CNC(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,453.6616,21.9811
Cc1ccc(NC(=O)CNCCNC(=O)C(CCC(=O)O)CCC(=O)O)c(C)c1,CC(=O)Nc1ccc(CN2CCC(NC(=O)N(CC3CO3)CC3CO3)CC2)cc1,409.3123,16.9273
O=C(O)CCN(CCC(=O)O)C(=O)CN1CCC(OCCc2ccccc2)CC1,CC(C)c1nnnn1CC(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,418.4035,30.889
Cc1ccc(CCNC(=O)C(CCC(=O)O)CCC(=O)O)cc1,CCc1ccc(C(=O)Nc2cc(C)cc(OCC3CO3)n2)c(OCC2CO2)c1,427.3672,12.0741
O=C(O)CCCN(OCc1ccccc1)C(=O)NC1CCN(CCC(=O)O)CC1,CC(C)NC(=O)c1ccc(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)cc1,409.0008,22.6749
O=C(O)CCNC(=O)c1ccc(NC(=O)C(=O)N(CCC(=O)O)CCc2ccco2)cc1,CCC(CC)OC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,401.3732,20.6133
COc1ccc(C(=O)O)c(NC(=O)NCCC(C)(C)C(=O)O)c1,COC(=O)c1ccc2c(c1)CCN(CC(=O)N(CC1CO1)CC1CO1)C2,453.5224,19.4069
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)C(=O)N(Cc2ccccc2)C2CC2)cc1,COc1ccc(CNCc2ccc(OC)c(OC)c2OCC2CO2)cc1OCC1CO1,420.608,19.9687
Cc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,Cc1cccc(OCC2CO2)c1C(=O)Nc1ccc(OCC2CO2)c(COC(C)C)c1,437.439,20.0995
O=C(O)COCc1ccc(NC(=O)c2ccc(COc3ccccc3)cc2)cc1COCC(=O)O,Cc1ccc(NC(=O)CN(CC2CO2)CC2CO2)cc1,454.8864,16.5082
Cc1ccc(CC(COCC(=O)O)COCC(=O)O)cc1C,Cc1c(OCC2CO2)ccc(C(=O)CN2C(=O)c3ccccc3C2=O)c1OCC1CO1,458.3238,23.041
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)C(=O)NCC2(O)CCC2)cc1,CC(C)(C)CNC(=O)c1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,496.8592,35.5562
CC(C)(CNC(=O)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1)c1ccncc1,N#Cc1ccc(C(=O)NCC(=O)Nc2cc(COCC3CO3)cc(COCC3CO3)c2)cc1,424.4544,20.5875
CC(C)(C)CCC(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,CC(=O)Nc1cc2ccccc2cc1C(=O)OCC(=O)N(CC1CO1)CC1CO1,460.7474,22.8178
COC(COCC(=O)O)COCC(=O)O,O=C(NCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1ccco1,392.3861,13.8604
Cc1ccccc1CC(=O)NCCNCC(=O)N(CCC(=O)O)CCC(=O)O,Cc1ccc(CC(=O)N2CCN(Cc3ccc(OCC4CO4)cc3)CC2)cc1OCC1CO1,389.9935,28.7868
Cc1ccc(COc2ccc(CN(CCOCC(=O)O)CCOCC(=O)O)cc2)cc1,CC(=O)Nc1ccc(OCC2CO2)c(C(=O)NCCCNC(=O)c2cccc(OCC3CO3)c2)c1,406.5834,19.4497
CCN(CCCOCC(=O)O)Cc1ccc(COCC(=O)O)cc1,O=C(c1ccccc1OCC1CO1)N1CCN(CCC2CO2)CC1,379.5147,25.8474
CN1CCC(C(=O)NCCCNCC(=O)N(CCC(=O)O)CCC(=O)O)CC1,c1ccc2c(c1)CCN2CCN(CC1CO1)CC1CO1,374.2968,22.6368
O=C(O)COCCCCCCOC(=O)c1cccc(COCC(=O)O)c1,C=CCCCCNC(=O)c1c(OCC2CO2)cccc1OCC1CO1,364.3933,30.5898
O=C(O)CCc1ccc(Oc2ccc(Oc3ccc(CCC(=O)O)cc3)cc2)cc1,O=C(COc1ccccc1OCC1CO1)N1CCN(c2ccc(OCC3CO3)cc2)CC1,394.5423,24.4415
CCC(=O)N(CCO)CCNC(=O)C(CCC(=O)O)CCC(=O)O,CCc1ccc(OCC2CO2)c(NC(=O)c2cccc(C)c2OCC2CO2)c1,397.8625,21.7156
CCCc1nc(C(=O)N(CCC(=O)O)CCC(=O)O)co1,COc1cc2c(cc1OC)CN(CC(=O)N(CC1CO1)CC1CO1)CC2,415.5627,30.2657
CC(C)N(CC(=O)O)CC(=O)Nc1ccccc1C(=O)O,N#Cc1cccc(OCCOC(=O)c2cccc(OCC3CO3)c2OCC2CO2)c1,429.5763,38.081
Cc1ccc(CCC(=O)Nc2cc(COCC(=O)O)cc(COCC(=O)O)c2)c(C)c1,COc1cc(C)ccc1OCC(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,436.4648,16.9705
COc1cc(COCC(=O)O)c(OCC(=O)Nc2cc(C)ccc2C)c(COCC(=O)O)c1,COc1cc(C)cc(C(=O)NCCCc2ccc(OCC3CO3)cc2)c1OCC1CO1,422.9158,19.5138
O=C(O)CCN(CCC(=O)O)C(=O)COc1ccc2oc3ccccc3c2c1,COc1cc(C=CC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)ccc1C,418.4505,44.1651
O=C(O)COCCOCCN(CCOCC(=O)O)C(=O)C1CCCCC1,O=C(CN1CCOc2ccccc2C1)N(CC1CO1)CC1CO1,387.7148,23.1374
NC(=O)C1CCN(Cc2ccc(CNC(=O)N(CCC(=O)O)CCC(=O)O)cc2)CC1,O=C(NCC1CO1)Nc1ccc(NC(=O)C(=O)NCc2ccc(OCC3CO3)cc2)cc1,434.5166,26.6381
O=C(O)CCN(CCC(=O)O)C(=O)CN(Cc1ccccc1)CC1(O)CCCC1,O=C(CCc1nc(OCC2CO2)c2ccccc2n1)NCc1cccc(OCC2CO2)c1,387.6675,6.4498
Cc1ccccc1C(C(=O)O)N1CCC(CCC(=O)O)CC1,O=C(CCC1CO1)N1CCCN(CCCCCC2CO2)CC1,391.4062,14.4784
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)CCN2C(=O)COc3ccccc32)cc1,Cc1ccc(OCC2CO2)c(C(=O)N(Cc2ccco2)Cc2ccccc2OCC2CO2)c1,446.8592,30.7043
CCOc1cc(C(=O)N(CCC(=O)O)CCC(=O)O)ccc1OCc1cccnc1,COc1ccc(OCCCC(=O)N(CC2CO2)CC2CO2)cc1,375.9262,28.4452
O=C(O)CCCCC(=O)N1CCC(NCC(=O)NCCC(=O)O)CC1,COc1ccc(CNC(=O)CNC(=O)c2ccc3ccc(OCC4CO4)cc3c2OCC2CO2)cc1,388.3011,23.7213
O=C(O)CCN(CCC(=O)O)C(=O)NCCCCC1CCCC1,O=C(COC(=O)c1cc2ccccc2cc1OCC1CO1)Nc1ccc(OCC2CO2)cc1,403.8735,32.9891
O=C(O)CCC(CCC(=O)O)C(=O)NCCCNc1ncccn1,O=C(CCCOCC1CO1)N(CCNCCC1CO1)CCc1ccccc1,360.8802,14.2453
O=C(O)CCN(CC(=O)O)CC(=O)Nc1cccc2ccccc12,CN(CCCCCOCC1CO1)C(=O)COc1ccc(COCC2CO2)cc1,357.1118,18.3135
NC(=O)Cn1cc(NC(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)cn1,O=C(CCCc1ccccc1)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,424.035,15.1988
Cc1c(NC(=O)NCCC(C)(C)C(=O)O)cccc1C(=O)O,Cc1cc(C)c(CCNC(=O)c2cccc(OCC3CO3)c2OCC2CO2)c(C)c1,466.7822,37.8862
O=C(O)c1cc(C(=O)N2CCC(C(=O)O)C2)ccn1,O=C(c1ccc(OCC2CO2)cc1OCC1CO1)N1CCC(O)CC1,500.082,43.375
