acid,epoxide,tg
O=C(O)c1cc(NC(=O)C2CCCCC2)cc(C(=O)O)c1,Cc1ccc(COCC2CO2)cc1NC(=O)c1ccc(CN2CCC(COCC3CO3)CC2)cc1,404.0222
CC(=O)Nc1ccc(C)cc1OCC(=O)N(CCC(=O)O)CCC(=O)O,O=C(C=Cc1ccc(OCC2CO2)cc1)NCc1cccc(OCC2CO2)c1,381.3606
Cn1cc(CCN2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)cn1,O=C(NC(Cc1ccccc1)C(=O)N1CCCC1)c1ccc(OCC2CO2)cc1OCC1CO1,371.2403
COc1ccc(CNC(=O)C(CCC(=O)O)CCC(=O)O)c(OC)c1OC,O=C(COCC1CO1)N1CCC(CNCCCC2CO2)CC1,317.9300
O=C(O)CCNC(=O)CNC(=O)N1CCC(O)(CCC(=O)O)CC1,Cc1ccc(CN(C)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)nc1,425.9321
CCCCc1ccc(NC(=O)NC(COCC(=O)O)COCC(=O)O)cc1,CCn1cc(NCc2ccc(OCC3CO3)cc2OCC2CO2)cn1,342.5050
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(NC(=O)c2ccccc2)c1,O=C(NCc1ccncc1)c1c(OCC2CO2)cccc1OCC1CO1,412.5370
CCN(CCCO)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,Cc1ccc(CC(=O)N2CCc3c(cccc3OCC3CO3)C2)cc1OCC1CO1,383.2158
CCN(CC1CCN(C(=O)CCCCC(=O)O)CC1)C(=O)CCCC(=O)O,CN(C)Cc1cccc(NC(=O)C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,351.7499
CC(C)NC(=O)CCNC(=O)C(CCC(=O)O)CCC(=O)O,Cc1ccc(C(=O)NCC(=O)N2CCCCC2)c(OCC2CO2)c1OCC1CO1,377.2636
COc1cc(Oc2ccccc2)ccc1NC(=O)C(=O)N(CCOCC(=O)O)CCOCC(=O)O,COc1ccccc1N1CCN(CC(=O)c2ccc(OCC3CO3)c(OCC3CO3)c2)CC1,361.1550
CC(C)CN(CC(C)(C)C(=O)O)C(=O)c1cccc(OCC(=O)O)c1,Cc1ccc(OCCNC(=O)c2c(OCC3CO3)cccc2OCC2CO2)c(C)c1,371.8279
COc1ccc(CN(CCC(=O)O)C(=O)COCCCC(=O)O)cc1,c1ccc(OCCOc2ccccc2OCCOCC2CO2)c(OCCOCC2CO2)c1,297.3587
CCNC(=O)c1cccc(NC(=O)CNC(COCC(=O)O)COCC(=O)O)c1,O=C(Nc1ccc(COCCO)cc1)C(CC1CO1)CC1CO1,379.7481
Cc1cccc(NC(=O)CN2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)c1C,CC(=O)Nc1c(C)ccc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1C,377.6667
COc1ccc(NC(=O)NC2(CC(=O)O)CCC2)c(C(=O)O)c1,O=C(COCCC1CO1)NCCCCC1CO1,361.3029
Cc1ccc(C)c(OCCNCCNC(=O)C(CCC(=O)O)CCC(=O)O)c1,CC(=O)NCCCNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,308.3655
COc1ccc(CCNC(=O)N(CCC(=O)O)CCC(=O)O)cc1O,CC(C)(C)OC(=O)COc1cccc(C(=O)N(CC2CO2)CC2CO2)c1,375.6494
Cc1onc(COCC(=O)O)c1C(=O)Nc1ccc(C(=O)NCCOCC(=O)O)cc1,CCN(Cc1ccccc1)C(=O)c1ccc(C)c(OCC2CO2)c1OCC1CO1,414.3198
CC(C)(CCOCC(=O)O)NC(=O)CCCCOCC(=O)O,O=C(COc1ccccc1OCc1ccccc1)NC(COCC1CO1)COCC1CO1,323.6029
O=C(O)CCC(CCC(=O)O)C(=O)N1CCN(CC2CCCCC2)CC1,CCNC(=O)COc1ccc(NC(=O)Nc2ccc(COCC3CO3)c(COCC3CO3)c2)cc1,386.6322
CC(=O)N1CCN(c2ccccc2CNC(=O)N(CCC(=O)O)CCC(=O)O)CC1,COC(=O)c1cc(NCC(=O)N(CC2CO2)CC2CO2)ccc1N1CCCCC1,391.1558
CCN(Cc1ccccn1)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,Cc1cc(NC(=O)c2cc(OCc3ccccc3)ccc2OCC2CO2)cc(OCC2CO2)c1,414.2734
CCC(=O)N(CCO)CCNC(=O)C(CCC(=O)O)CCC(=O)O,CCc1ccc(OCC2CO2)c(NC(=O)c2cccc(C)c2OCC2CO2)c1,343.9631
CCCCCCC(=O)N1CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC1,Cc1cc(N(C)C)ccc1NC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,338.2691
O=C(O)COCCOCCN(CCOCC(=O)O)C(=O)C1CCCCCC1,O=C(NCc1ccccn1)c1cccc(OCC2CO2)c1OCC1CO1,328.8161
Cc1ccc2c(CN(CCC(=O)O)CCC(=O)O)ccc(O)c2n1,CC(C)(C)C(=O)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,354.8798
Cc1cccc(C)c1OCCCNC(COCC(=O)O)COCC(=O)O,CC(=O)c1ccc(OCC2CO2)c(NC(=O)Cc2cc3ccccc3nc2OCC2CO2)c1,352.7751
CCCCCOCC(=O)NC(COCC(=O)O)COCC(=O)O,O=C(COCCc1ccccc1)N(CC1CO1)CC1CO1,304.9546
Cc1cccc(C(=O)N2CCCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)c1,O=C(Nc1ccccc1)c1ccc(C(=O)NC(COCC2CO2)COCC2CO2)cc1,388.2661
CN(C)c1ncccc1CN(CCC(=O)O)CC(=O)O,c1ccc(CC2CCN(CCCCCOCC3CO3)CC2)c(COCC2CO2)c1,326.5613
CC(C)(C(=O)O)n1cc(NC(=O)NCc2ccc(C(=O)O)cc2)cn1,O=C(NCc1ccc(C2CCC2)cc1)c1c(OCC2CO2)cccc1OCC1CO1,422.6751
O=C(O)CCC(CCC(=O)O)C(=O)N(Cc1ccco1)c1ccccc1,Cc1cc(NC(=O)CCC2CO2)ccc1NC(=O)CCC1CO1,363.8889
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)C(=O)N2CCC(C3CCCC3)CC2)cc1,CC(NC(=O)c1c(OCC2CO2)cccc1OCC1CO1)C(=O)Nc1ccccc1,399.2402
CCN(CC)CC1CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC1,COc1ccc(NC(=O)COC(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)cc1,363.7009
Cc1ccc(NC(=O)N2CCC(CC(=O)O)CC2)cc1NC(=O)N1CCC(CC(=O)O)CC1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)C(=O)N1CCC(Cc2ccccc2)CC1,476.1840
COc1cc(NC(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)cc2ccccc12,CCc1ccc(OCC2CO2)c(NC(=O)c2cc(OCC3CO3)nc3ccccc23)c1,381.8297
CC(C)(CCCNC(=O)CCCCC(=O)O)NC(=O)CCCCC(=O)O,CC(C)Oc1ccccc1CC(=O)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,329.6225
O=C(O)CCN(CCC(=O)O)C(=O)N1CCc2ccccc21,CC(C)CCC(=O)N1CCN(CC(=O)N(CC2CO2)CC2CO2)CC1,382.8881
O=C(O)COCCCNc1cc(NCCCOCC(=O)O)ncn1,Cc1cc(C(=O)NCCc2ccc(OCC3CO3)cc2)nc(OCC2CO2)n1,341.8955
CCN(C(=O)c1ccc(C)cc1)C1CN(C(=O)C(CCC(=O)O)CCC(=O)O)C1,CNC(=O)Cn1cc(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)cn1,366.2897
CCCN1CCC(NC(=O)N(CCC(=O)O)CCC(=O)O)CC1,O=C(NCc1ccc(CNCC2CO2)cc1)C1(CC2CO2)CCC1,362.8304
Cc1cc(C)c(C(=O)O)c(C)c1C(=O)O,CCc1cccc(CN(C)Cc2ccc(OC)c(OCC3CO3)c2)c1OCC1CO1,362.9653
O=C(O)CCC(CCC(=O)O)C(=O)N1CCN(Cc2ncccn2)CC1,Cc1ccc(CCC(=O)NCC(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,346.9151
COc1ccc(C(=O)O)cc1CN(C)CC(=O)O,O=C(O)CCNC(=O)COC(=O)c1cccc(OCC2CO2)c1OCC1CO1,339.2314
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)Nc2cnn(CCO)c2)cc1,O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)c1ccc(N2CCCC2)nn1,416.8812
Cc1cc(C)c(CNC(CCC(=O)O)C(=O)O)cc1C,CCN(CCNC(=O)c1cccc(OCC2CO2)c1OCC1CO1)c1cccc(C)c1,345.8615
CCN(c1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1)C(C)C,O=C(NCCC1CO1)C(CCC1CO1)c1ccccc1,382.8041
O=C(O)COCC(=O)Nc1ccc(OC(=O)COCC(=O)O)cc1,O=C(NCCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1ccc2nccnc2c1,372.5187
O=C(O)CCOc1ccc(C(=O)NC2CCN(CCC(=O)O)C2)cc1,O=C(CN(CCc1ccccc1)CC1CO1)NCC1CO1,313.3845
COc1cc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)on1,CCCN(Cc1ccccc1OCC1CO1)C(=O)c1ccc(OCC2CO2)c(OC)c1,359.8301
O=C(O)CCCC(=O)NCC1CC(NCCC(=O)O)C1,COc1cc2c(cc1OCC1CO1)CCN(C(=O)Cc1ccc(OCC3CO3)cc1)C2,353.7756
O=C(NC1(C(=O)O)CCCC1)c1ccc(C(=O)O)nc1,O=C(Nc1ccc2c(c1)CCC2)c1c(OCC2CO2)cccc1OCC1CO1,465.1916
O=C(O)CCN(CC(=O)O)c1cnc2ccccc2n1,NC(=O)COc1ccc(CN(CC2CO2)CC2CO2)cc1,342.6165
COc1cc(CN(C)CCC(=O)O)cc(CCC(=O)O)c1O,O=C(NC1CCN(C(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)CC1)c1ccccc1,359.7909
COC(=O)c1ccc(NC(=O)CN(CCCOCC(=O)O)CCOCC(=O)O)cc1,Cc1ccc(Oc2ccc(NC(=O)N(CC3CO3)CC3CO3)cc2)cc1,361.4354
O=C(O)CCOCCNCCCCCCNC(=O)c1cccn1CCC(=O)O,O=C(NCC1CO1)c1ccc(NC(=O)N2CCC(C3CO3)CC2)cc1,389.6691
CCCc1cc(C(=O)N(CCC(=O)O)CCC(=O)O)ccn1,COc1ccc(NC(=O)N(CC2CO2)CC2CO2)cc1OC(C)C,399.5913
Cc1cccc(NC(=O)CN(CCCOCC(=O)O)CCOCC(=O)O)c1C,CCOC(=O)CCCNC(=O)N(CC1CO1)CC1CO1,336.7343
CC(=O)NCCNC(=O)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,O=C(CCn1nc(OCC2CO2)c2ccccc2c1=O)NCCc1ccc(OCC2CO2)cc1,399.7080
